ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
2,1,58.672234,N/A,13.684776,49.405724,19.279114,0.471008,0.005000,1.421078,mushroom,yes,-1.641695,165,0.468241,13.174744,47.883606,19.233105,85.484795
9,1,58.672234,N/A,21.762266,45.649403,18.238827,0.614690,0.005000,1.362377,mushroom,yes,6.265096,147,0.151716,21.497002,44.205482,18.400000,76.290596
11,2,30.388264,N/A,40.725693,21.658644,28.236664,0.312645,0.005000,1.325457,thin,yes,-61.435427,270,0.760458,41.245327,21.375858,27.150000,73.961967
15,1,58.672234,N/A,5.737496,50.995945,22.390516,0.279962,0.005000,1.288409,thin,yes,-55.182001,184,0.235995,6.067801,51.792973,21.150000,95.520828
16,1,58.672234,N/A,1.647524,49.573437,24.716307,0.329831,0.005000,1.259061,thin,yes,26.257647,196,0.207040,1.437375,50.711536,25.287235,101.099762
20,0,43.929863,N/A,53.711479,43.647568,17.118221,0.338645,0.005000,1.232030,thin,yes,2.493001,75,0.425117,53.361820,42.303452,17.178690,42.205292
21,1,58.672234,N/A,32.418957,45.345432,17.624079,0.431638,0.005000,1.114935,mushroom,yes,7.065061,126,0.000000,31.957996,44.297417,17.765976,65.744522
22,2,30.388264,N/A,41.277767,24.328966,25.086138,0.307904,0.005000,1.112843,thin,yes,-56.573252,262,0.000000,40.710075,24.199455,24.203964,70.292336
23,2,30.388264,N/A,40.749382,30.222918,21.263948,0.222309,0.005000,1.140613,thin,yes,-15.634369,244,0.347345,41.468311,29.361723,20.950001,62.283234
25,2,30.388264,N/A,51.385067,42.393314,18.607885,0.461663,0.005000,1.084184,mushroom,yes,-45.638966,202,0.613628,51.609776,41.636112,17.800228,45.027561
27,2,30.388264,N/A,45.984211,34.976978,21.024872,0.419624,N/A,1.051586,stubby,yes,-66.076306,225,0.266545,45.666267,35.107677,20.250000,54.813671
29,2,30.388264,N/A,51.621758,41.030796,19.459276,0.335143,0.005000,1.075942,thin,yes,-59.168717,203,0.000000,51.068790,41.179272,18.500000,45.829472
30,1,58.672234,N/A,13.281461,46.784283,18.492142,0.347708,0.005000,1.060536,thin,yes,34.368428,164,0.408556,13.733182,47.684006,19.180666,84.940041
31,2,30.388264,N/A,40.615372,21.406399,26.382195,0.245411,0.005000,1.038560,thin,yes,52.428623,269,0.493121,41.207836,21.249996,27.178703,73.617661
32,2,30.388264,N/A,39.723518,23.129484,25.907166,0.300411,0.005000,1.058917,thin,yes,-20.591181,264,0.121522,40.764465,23.141947,25.516054,71.200630
33,1,58.672234,N/A,46.681473,42.342205,17.889774,0.435444,0.005000,1.039410,mushroom,yes,-49.720790,90,0.296015,46.387856,41.746250,17.105812,50.085186
34,1,58.672234,N/A,10.165021,50.449196,19.852718,0.269109,0.005000,1.063249,thin,yes,-14.788293,172,0.392394,9.973591,49.309376,19.547600,89.469795
35,2,30.388264,N/A,42.397770,21.632595,26.825974,0.271125,0.005000,1.010257,thin,yes,1.635437,268,0.109990,41.398987,21.776329,26.854784,73.299133
36,1,58.672234,N/A,36.848595,41.962997,17.028828,0.435784,0.005000,1.015252,mushroom,yes,23.918621,111,0.846331,37.403507,42.751698,17.456545,59.507092
37,2,30.388264,N/A,39.638489,23.664316,24.558018,0.374981,0.005000,0.984341,mushroom,yes,-6.423695,261,0.000000,40.478722,23.905315,24.459604,69.789322
38,1,58.672234,N/A,11.510077,49.646458,19.865768,0.342531,0.005000,0.981850,thin,yes,-21.723100,170,0.875586,11.086136,48.832146,19.500000,87.987511
39,1,58.672234,N/A,27.787224,44.726589,18.667862,0.258399,0.005000,0.981235,thin,yes,-45.727933,135,0.290485,27.356449,44.166862,17.943382,70.093521
40,1,58.672234,N/A,31.007524,45.167637,17.141695,0.455717,0.005000,0.942311,mushroom,yes,25.509523,127,0.000000,31.050001,44.313026,17.550001,66.396011
41,1,58.672234,N/A,20.836485,43.356213,18.198099,0.502674,0.005000,0.957858,mushroom,yes,9.475162,148,0.751928,21.109280,44.325943,18.366226,76.572464
42,2,30.388264,N/A,46.862122,36.233589,20.958727,0.478986,0.409652,0.912405,mushroom,yes,-58.703691,221,0.014330,46.489952,36.450665,20.250000,53.267464
43,1,58.672234,N/A,51.525612,43.247929,16.950668,0.341215,0.005000,0.973510,thin,yes,-1.036205,80,0.579195,51.351810,42.143185,16.930441,44.636288
44,1,58.672234,N/A,13.715386,48.636856,18.729586,0.583140,0.005000,0.942644,mushroom,yes,28.183610,164,0.000000,13.512525,47.784752,19.198927,85.212151
45,1,58.672234,N/A,10.273608,48.306511,20.041859,0.456176,0.005000,0.956238,mushroom,yes,-31.592307,170,0.412731,10.737870,49.055309,19.500000,88.305656
46,1,58.672234,N/A,2.273207,50.444038,24.040873,0.402792,0.005000,0.916358,mushroom,yes,40.267294,194,0.296948,2.033327,51.024868,24.573191,100.022163
47,1,58.672234,N/A,32.010391,45.496361,18.078880,0.215924,0.005000,0.961447,thin,yes,-16.987771,126,0.287288,31.763605,44.346363,17.719561,65.617165
48,2,30.388264,N/A,41.624893,26.590702,22.447174,0.168962,0.005000,0.960079,thin,yes,-2.737223,254,0.376079,40.771145,25.872520,22.393835,66.561127
49,1,58.672234,N/A,9.860546,49.117813,18.691381,0.432632,N/A,0.889965,stubby,yes,74.047647,171,0.050593,10.022683,49.299484,19.543243,89.137146
50,2,30.388264,N/A,49.369106,39.647011,19.907801,0.440598,0.005000,0.907113,mushroom,yes,-48.880984,210,0.000000,49.018311,40.153347,19.202160,48.322937
51,1,58.672234,N/A,34.287159,42.278072,18.044596,0.360481,0.005000,0.918107,mushroom,yes,-9.225541,119,0.366654,34.500072,43.225460,17.886881,62.512051
52,1,58.672234,N/A,27.995169,45.038082,17.479647,0.399117,0.005000,0.924889,mushroom,yes,18.801683,134,0.038744,27.821800,44.113247,17.800001,69.769646
53,1,58.672234,N/A,17.917923,46.987228,18.598173,0.232093,0.005000,0.942673,thin,yes,-7.546564,155,0.000000,17.440830,45.975632,18.450001,80.713821
54,2,30.388264,N/A,43.244968,30.833473,21.101286,0.260465,0.005000,0.898183,thin,yes,-61.052361,239,0.516139,42.833050,30.885412,20.350664,60.057915
55,1,58.672234,N/A,27.500013,44.297596,16.956852,0.307671,0.140070,0.857828,thin,yes,78.888517,134,0.000000,27.591732,44.146652,17.856161,69.786346
56,1,58.672234,N/A,4.390066,52.695499,23.722429,0.316623,0.005000,0.894223,thin,yes,-31.694623,188,0.000000,3.978574,52.066658,23.258385,97.452469
57,2,30.388264,N/A,41.602634,28.888834,21.667841,0.589811,N/A,0.872260,stubby,yes,-61.176380,246,0.807755,41.228779,29.016403,20.950001,62.881546
58,2,30.388264,N/A,41.756226,22.487852,27.325672,0.310304,0.166854,0.898805,thin,yes,-28.967103,268,0.127045,41.396790,21.761330,26.876972,73.286736
59,1,58.672234,N/A,2.339102,50.051216,24.817434,0.325297,0.005000,0.894001,thin,yes,-2.447234,195,0.701944,1.868182,50.952763,24.773964,100.326416
60,1,58.672234,N/A,18.146910,46.027584,17.729023,0.412929,0.355883,0.835829,mushroom,yes,62.066075,154,0.629912,18.176859,45.666424,18.412498,79.981522
61,1,58.672234,N/A,47.327930,40.829395,16.586554,0.382420,0.005000,0.879893,mushroom,yes,13.846463,88,0.655213,47.489826,41.695950,16.803841,49.152161
62,1,58.672234,N/A,8.718247,50.631142,20.578316,0.350147,N/A,0.842066,stubby,yes,-59.675698,177,0.950454,8.327970,50.583618,19.906157,91.373894
63,1,58.672234,N/A,41.220989,41.495682,16.877041,0.306985,0.005000,0.883509,thin,yes,28.043168,101,0.027360,41.244736,42.375069,17.345640,55.528378
