ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
8,3,78.170822,N/A,32.504166,27.079845,6.292339,0.374454,0.271884,1.391856,mushroom,yes,-58.071690,374,0.697923,32.959656,27.467676,5.332294,87.641724
10,0,57.558552,N/A,17.839092,74.126816,12.918433,0.152441,0.005000,1.440461,thin,yes,86.287374,175,0.132463,17.762903,74.043472,14.658630,57.245029
13,3,78.170822,N/A,43.979908,51.517727,17.356216,0.319070,0.005000,1.392412,thin,yes,-68.899963,316,0.339285,43.624146,51.918633,15.967152,57.964268
15,0,57.558552,N/A,2.085816,63.721596,14.270927,0.491430,0.005000,1.344660,mushroom,yes,-73.641615,216,0.133860,1.847272,63.995747,13.032869,76.681549
16,3,78.170822,N/A,32.370544,29.060745,5.293738,0.254643,0.188675,1.347354,thin,yes,37.128125,372,0.245901,33.327541,28.503624,6.132076,86.752342
18,5,15.802046,N/A,33.183704,79.910446,3.968577,0.432946,0.005000,1.281926,mushroom,yes,10.299416,59,0.482325,34.178860,79.196945,4.191094,43.795837
20,0,57.558552,N/A,25.147572,76.779076,14.486619,0.597024,0.005000,1.270242,mushroom,yes,38.329993,159,0.000000,24.709486,77.848091,15.400001,49.748741
22,0,57.558552,N/A,24.659752,77.232399,14.428134,0.333970,0.005000,1.226269,thin,yes,62.286062,159,0.931813,24.530212,77.726234,15.400001,49.399384
23,3,78.170822,N/A,33.982117,30.906332,6.151999,0.391503,0.177734,1.223825,mushroom,yes,67.388090,366,0.000000,33.838779,30.503561,7.178439,83.944206
25,3,78.170822,N/A,47.423672,62.062210,17.104349,0.425941,0.005000,1.232226,mushroom,yes,19.913392,290,0.275316,48.243176,61.481136,17.468277,47.029709
26,0,57.558552,N/A,8.786528,70.632271,13.574371,0.397528,0.005000,1.229535,mushroom,yes,-8.033379,194,0.000000,9.455361,69.593475,13.400001,66.942238
28,0,57.558552,N/A,15.165685,74.584633,14.158937,0.443032,0.005000,1.172822,mushroom,yes,-2.782658,180,0.111650,15.448071,73.405396,14.100000,59.647991
29,0,57.558552,N/A,24.474140,78.786819,14.926764,0.530143,0.005000,1.146066,mushroom,yes,28.386535,157,0.106963,25.058872,78.080338,15.422347,48.855488
