ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
5,1,86.835579,N/A,36.544086,42.969734,16.892410,0.354573,0.005000,1.950578,mushroom,yes,-55.001479,168,0.000000,35.580147,43.530045,15.300000,75.976135
12,2,51.453991,N/A,89.265915,32.319435,5.163291,0.448145,0.005000,1.862037,mushroom,yes,62.902445,236,0.541697,88.565109,31.819530,6.845683,22.969517
16,2,51.453991,N/A,75.963890,15.694747,5.567243,0.126766,0.005000,1.808921,thin,yes,43.310307,277,0.582504,77.345573,15.132792,6.973353,44.482574
30,1,86.835579,N/A,23.327887,47.287525,19.524208,0.339626,0.005000,1.714700,thin,yes,-54.924612,198,0.839294,23.215654,48.288597,18.089594,90.073105
35,1,86.835579,N/A,69.482559,46.985489,8.819877,0.505015,0.005000,1.641899,mushroom,yes,82.358813,76,0.710862,69.471390,46.760361,10.500000,38.981670
46,1,86.835579,N/A,25.321577,45.852055,17.748983,0.291589,0.005000,1.596277,thin,yes,-15.208739,192,0.071787,25.688915,47.404083,17.315395,87.440887
51,2,51.453991,N/A,69.175995,1.296364,10.564941,0.215674,0.005000,1.584190,thin,yes,-57.508800,312,0.000000,68.367676,1.694638,9.150001,60.991722
58,1,86.835579,N/A,23.869556,46.918392,18.679937,0.388220,0.005000,1.437368,mushroom,yes,-38.761922,196,0.886425,24.151653,47.934223,17.833433,89.158531
71,1,86.835579,N/A,74.708443,44.828770,10.870131,0.256118,0.005000,1.277762,thin,yes,-7.159368,62,0.283997,74.607361,46.179447,10.700000,33.579876
74,1,86.835579,N/A,29.862455,44.863575,15.914029,0.437730,0.005000,1.180611,mushroom,yes,35.627273,181,0.287114,30.415777,45.672897,16.616627,82.018639
75,1,86.835579,N/A,44.627518,42.098274,13.752779,0.449028,0.005000,1.174430,mushroom,yes,12.550400,145,0.040074,44.182865,43.371998,14.053114,66.661446
77,1,86.835579,N/A,30.413559,46.928894,16.917229,0.383584,0.005000,1.170814,mushroom,yes,-9.906456,181,0.000000,30.084042,45.729504,16.700001,82.182686
78,2,51.453991,N/A,91.289452,35.608879,8.942371,0.296715,0.005000,1.152752,thin,yes,-71.929474,226,0.450969,91.064003,35.934566,7.728372,17.906990
81,1,86.835579,N/A,23.958765,46.701725,17.912714,0.200686,0.005000,1.114582,thin,yes,-7.296648,195,0.434671,24.389786,47.838436,17.757053,88.817535
82,2,51.453991,N/A,67.457466,1.278072,8.130773,0.191022,0.005000,1.088991,thin,yes,70.779566,313,0.000000,67.846558,1.248631,9.250000,61.384148
83,1,86.835579,N/A,22.880882,47.454754,17.692595,0.355545,0.005000,1.045889,mushroom,yes,26.637132,198,0.901920,23.011133,48.360771,18.151701,90.027603
84,2,51.453991,N/A,77.034218,16.874313,6.887194,0.332136,0.005000,1.046800,thin,yes,-0.082595,274,0.335446,77.925430,16.130142,6.885520,42.795609
86,1,86.835579,N/A,17.660673,49.788120,17.860798,0.368487,0.005000,1.025462,mushroom,yes,25.068129,209,0.558297,18.341396,50.651588,18.375109,96.099854
87,2,51.453991,N/A,69.573318,5.139465,7.919584,0.494544,0.005000,0.999344,mushroom,yes,20.467457,304,0.672005,70.445404,4.843773,8.263280,57.013309
88,1,86.835579,N/A,29.235065,45.070683,16.033201,0.292280,0.005000,1.017495,thin,yes,39.309182,183,0.301631,29.484192,45.846046,16.700001,82.987999
91,2,51.453991,N/A,77.881485,17.930696,7.051439,0.211742,0.005000,1.015264,thin,yes,-8.112705,271,0.376627,79.034660,17.608511,6.880762,40.782879
92,1,86.835579,N/A,20.715683,50.207909,17.343803,0.338222,0.229454,0.957053,thin,yes,62.468797,204,0.274259,20.299585,50.149361,18.149921,93.917877
