ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
0,2,42.058601,N/A,73.230919,58.591000,21.211378,0.219791,N/A,1.952734,stubby,yes,1.816969,159,0.109516,71.586258,57.374634,21.276270,48.722523
1,1,28.099094,N/A,72.526840,44.285141,19.189175,0.461225,0.005000,1.907147,mushroom,yes,86.630181,79,0.596637,72.499313,44.397270,21.150000,38.480751
5,2,42.058601,N/A,61.836502,70.877769,26.921743,0.183270,0.005000,1.835686,thin,yes,-26.583333,194,0.599355,62.895500,72.330513,26.022146,67.465668
6,1,28.099094,N/A,77.107971,42.556915,22.398569,0.123450,0.005000,1.808900,thin,yes,-75.169124,67,0.000000,76.900017,43.000023,20.550001,34.453621
14,2,42.058601,N/A,71.503738,56.544930,19.007633,0.265907,0.005000,1.650125,thin,yes,74.120512,157,0.111216,72.067802,56.405697,21.050001,47.418533
18,1,28.099094,N/A,63.569283,46.927101,25.673176,0.109299,0.005000,1.505471,thin,yes,-80.398966,102,0.145984,63.641865,47.235535,23.800001,49.069649
19,2,42.058601,N/A,71.472672,55.606895,19.624109,0.207354,0.005000,1.463175,thin,yes,56.766149,156,0.902946,72.099747,56.299469,21.050001,46.451420
20,2,42.058601,N/A,61.873592,72.139679,24.838957,0.320167,0.005000,1.363134,thin,yes,53.879642,194,0.000000,62.674576,72.513138,26.050001,67.775505
23,2,42.058601,N/A,70.728874,57.462631,20.796577,0.395420,0.005000,1.222597,mushroom,yes,48.080293,160,0.413720,71.244247,57.809185,21.488276,49.124584
24,2,42.058601,N/A,67.935371,63.793175,22.447727,0.441209,0.275087,1.216693,mushroom,yes,71.696450,171,0.326670,67.744583,63.480946,23.553894,56.504414
25,1,28.099094,N/A,62.281738,47.952358,26.035639,0.180476,0.005000,1.294563,thin,yes,-73.452668,107,0.868353,61.836800,47.882656,24.519831,51.206947
27,2,42.058601,N/A,64.160217,72.530800,26.385056,0.398445,0.005000,1.223699,mushroom,yes,-19.881551,193,0.364375,63.120567,72.101807,25.978336,67.091347
28,2,42.058601,N/A,61.841026,71.291183,26.169029,0.151329,0.005000,1.251539,thin,yes,-5.018329,194,0.239772,62.756554,72.445374,26.039665,67.651558
30,2,42.058601,N/A,75.050667,51.788601,21.410021,0.451838,0.181262,1.120569,mushroom,yes,-59.642299,146,0.123947,74.646988,51.397179,20.450001,41.887432
31,1,28.099094,N/A,65.078506,45.696968,22.118622,0.326026,0.005000,1.196565,thin,yes,40.026789,96,0.000000,65.900002,46.133606,22.900000,46.332077
32,1,28.099094,N/A,68.667992,46.593178,21.080423,0.187851,0.005000,1.194928,thin,yes,43.207882,91,0.000000,68.150002,45.700348,22.050001,43.229954
