ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
6,2,86.831009,N/A,37.955799,47.824356,10.276307,0.342912,0.005000,1.241551,thin,yes,-78.042657,184,0.693902,38.262856,47.703766,8.718607,47.321178
7,2,86.831009,N/A,42.518295,84.778030,12.279898,0.342789,0.005000,1.294060,thin,yes,-52.638551,260,0.939727,41.746311,84.731728,11.266958,87.499870
8,2,86.831009,N/A,42.064613,89.835213,12.082958,0.385476,0.005000,1.277223,mushroom,yes,-48.689090,269,0.000000,41.293285,89.710632,11.193937,92.773903
11,1,58.241039,N/A,16.926836,37.713341,23.317499,0.155459,0.005000,1.340643,thin,yes,-3.363825,80,0.338861,17.597719,39.114185,23.226206,53.970039
12,2,86.831009,N/A,42.899593,79.162720,10.047487,0.316299,0.005000,1.240033,thin,yes,0.134489,249,0.881569,41.915012,78.742287,10.050000,81.218384
13,2,86.831009,N/A,38.998825,51.356533,6.719970,0.547237,0.005000,1.223374,mushroom,yes,48.252714,191,0.023363,39.772068,51.202271,7.603472,52.264523
14,1,58.241039,N/A,2.361800,51.439102,27.470724,0.393500,0.005000,1.213096,mushroom,yes,-34.284204,128,0.239001,2.901573,52.139305,26.867987,75.495728
15,2,86.831009,N/A,41.623623,86.547729,12.568535,0.234491,0.187611,1.281913,thin,yes,-77.457422,263,0.879298,41.759548,86.248291,11.090411,89.205383
18,2,86.831009,N/A,40.315140,52.066628,5.998993,0.398154,0.005000,1.203508,mushroom,yes,84.463700,194,0.000000,40.343006,52.197403,7.378481,54.061394
19,2,86.831009,N/A,41.514439,87.251411,9.750282,0.303568,0.005000,1.181479,thin,yes,75.395995,264,0.000000,41.729813,87.419998,10.800000,90.401260
22,2,86.831009,N/A,43.123081,67.730171,8.092064,0.379269,0.005000,1.158796,mushroom,yes,19.140911,225,0.577112,42.020191,67.465027,8.485763,69.356575
23,2,86.831009,N/A,42.162075,77.097603,8.873795,0.290803,0.132003,1.105207,thin,yes,74.879455,246,0.593038,42.386086,77.296127,9.981546,79.778748
24,1,58.241039,N/A,1.835341,51.840969,26.484819,0.528719,0.005000,1.146441,mushroom,yes,24.665831,129,0.291930,2.513143,52.629704,26.962397,75.966446
26,2,86.831009,N/A,41.511375,73.258247,8.949471,0.530459,0.005000,1.095216,mushroom,yes,13.471028,237,0.382756,42.381073,73.005951,9.166390,75.218582
28,2,86.831009,N/A,41.907005,80.792336,9.712424,0.365327,N/A,1.045518,thin,yes,65.955690,253,0.657095,41.488922,80.778709,10.650001,83.501968
29,1,58.241039,N/A,29.485651,30.013821,15.716873,0.253766,0.005000,1.168326,thin,yes,10.576025,50,0.857921,30.369631,31.032970,15.968767,36.746395
30,1,58.241039,N/A,25.957571,34.620110,18.917904,0.499018,0.005000,1.110733,mushroom,yes,37.217819,61,0.927493,25.792185,33.700397,19.627659,43.189930
33,2,86.831009,N/A,41.680565,26.928774,8.394423,0.358694,0.005000,1.099779,mushroom,yes,56.688708,142,0.347597,41.028305,26.974951,9.389452,25.609362
34,2,86.831009,N/A,37.682869,45.944473,10.813672,0.374153,0.328236,1.038154,mushroom,yes,-48.934642,180,0.323003,37.617317,45.379780,10.161209,45.329620
35,2,86.831009,N/A,37.728165,47.252869,8.018283,0.483544,0.350573,1.064877,mushroom,yes,59.449320,185,0.938311,38.165203,47.459545,8.837350,47.882626
36,1,58.241039,N/A,20.540701,37.424572,23.038519,0.382984,0.202810,1.010898,mushroom,yes,-75.368145,74,0.305748,20.283945,37.509727,22.002382,50.759739
37,2,86.831009,N/A,42.210865,78.748108,11.096839,0.297695,0.005000,1.060754,thin,yes,-75.247203,250,0.894577,41.940773,78.692963,10.050000,81.547768
39,2,86.831009,N/A,38.688133,41.955406,10.689534,0.254614,0.005000,1.122006,thin,yes,-11.710220,174,0.844400,37.431938,42.051983,10.428387,41.843567
40,1,58.241039,N/A,8.596386,45.961178,25.155003,0.637022,0.005000,1.003377,mushroom,yes,21.802567,104,0.478240,8.804824,46.807495,25.503666,66.205299
41,2,86.831009,N/A,42.988819,77.416924,10.825578,0.293330,0.005000,1.055259,thin,yes,-53.681627,245,0.000000,42.425110,77.183563,9.995582,79.604828
42,1,58.241039,N/A,3.719799,48.494038,26.904383,0.115497,0.005000,1.100277,thin,yes,-22.305947,118,0.000000,4.531678,49.247406,26.450001,71.990753
43,2,86.831009,N/A,44.368389,100.076706,13.203471,0.197831,0.005000,1.102570,thin,yes,11.748987,295,0.384356,43.625690,101.101532,13.466703,105.607185
44,1,58.241039,N/A,29.253586,30.670015,15.197899,0.147563,0.005000,1.094791,thin,yes,42.998851,50,0.459219,30.048630,31.247993,16.114460,37.085392
45,1,58.241039,N/A,1.226393,54.548359,28.303762,0.237884,0.005000,1.047803,thin,yes,-36.904640,134,0.274444,0.705480,53.892593,27.674856,78.561127
46,2,86.831009,N/A,42.762573,77.488564,9.271247,0.489142,0.293579,0.943735,mushroom,yes,56.836062,246,0.300534,42.315220,77.500534,9.956059,79.903748
