ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
5,2,54.151726,N/A,21.499008,38.021664,14.556123,0.169260,0.005000,1.428233,thin,yes,-68.256678,102,0.146618,21.292683,38.606983,13.000000,68.342133
7,2,54.151726,N/A,20.363071,39.703739,12.769128,0.499594,0.005000,1.401368,mushroom,yes,11.849206,103,0.304614,20.880920,38.473839,13.049110,68.867508
8,2,54.151726,N/A,29.240255,42.674313,10.966982,0.614742,0.392835,1.281218,mushroom,yes,18.710302,86,0.770070,27.980534,42.892876,11.400001,58.969418
9,2,54.151726,N/A,23.296677,41.282894,11.592685,0.411510,0.005000,1.385176,mushroom,yes,27.545302,95,0.000000,24.221855,40.575890,12.200000,64.571602
11,2,54.151726,N/A,17.768946,35.053024,13.518934,0.237839,0.005000,1.423556,thin,yes,10.323868,113,0.362088,17.074095,36.260151,13.772654,73.269753
12,3,69.802551,N/A,18.516655,27.733559,14.831689,0.088874,0.005000,1.422085,thin,yes,66.609121,238,0.596257,18.028721,28.173143,16.350000,78.665253
15,6,58.599812,N/A,38.604668,9.774932,23.754698,0.415243,0.005000,1.324693,mushroom,yes,-15.481058,423,0.839150,37.240192,9.671923,23.375706,88.657631
17,6,58.599812,N/A,36.585888,13.214984,22.773092,0.343964,0.284869,1.275596,thin,yes,-68.593950,417,0.817338,36.601563,12.781217,21.665871,85.204849
18,2,54.151726,N/A,24.464237,42.256260,12.311874,0.323201,0.005000,1.295347,thin,yes,-10.405374,93,0.000000,25.076679,41.278419,12.100000,63.431511
19,2,54.151726,N/A,3.320012,25.270670,18.307369,0.493700,0.005000,1.292251,mushroom,yes,-22.053797,155,0.006082,2.301194,25.999023,17.800001,93.099014
20,3,69.802551,N/A,20.931932,32.388397,15.257683,0.510245,0.005000,1.258889,mushroom,yes,45.979436,226,0.201625,21.497555,31.872314,16.050001,73.501518
22,2,54.151726,N/A,20.075514,36.649044,13.149887,0.329562,0.005000,1.308212,thin,yes,6.639377,106,0.000000,19.456932,37.780632,13.300000,70.400360
27,3,69.802551,N/A,4.210652,10.043902,20.637360,0.288435,0.005000,1.258602,thin,yes,-41.245717,288,0.357815,4.969282,9.563498,19.850000,103.198868
28,3,69.802551,N/A,30.450195,39.364071,14.623288,0.211504,0.174121,1.238649,thin,yes,-78.924187,198,0.085916,30.257500,39.522167,13.350000,60.495312
31,3,69.802551,N/A,11.308738,15.911497,18.232321,0.438385,0.005000,1.193418,mushroom,yes,23.748072,270,0.917844,10.589703,16.531355,18.650000,93.570976
32,3,69.802551,N/A,20.146570,28.847441,16.654303,0.502967,0.005000,1.172894,mushroom,yes,-22.138724,231,0.000000,19.707775,29.739067,16.250000,75.861580
33,6,58.599812,N/A,40.341198,32.578964,13.418635,0.490174,0.005000,1.102488,mushroom,yes,70.518011,380,0.874752,40.676109,32.691116,14.417013,62.561272
34,2,54.151726,N/A,2.845816,27.601299,17.842220,0.399223,0.005000,1.097872,mushroom,yes,-24.588221,153,0.537244,3.322157,26.854904,17.437054,91.770622
36,3,69.802551,N/A,28.980177,36.655846,15.264515,0.139182,0.005000,1.189671,thin,yes,-47.919355,207,0.072161,28.337189,37.173973,14.350000,63.930931
37,3,69.802551,N/A,26.105072,36.006321,16.086452,0.529319,0.429714,1.078736,mushroom,yes,-63.581528,214,0.166047,26.253853,35.605129,15.225169,67.036827
38,2,54.151726,N/A,13.416402,33.720474,15.887515,0.311599,0.239870,1.153630,thin,yes,-89.641180,125,0.000000,13.410878,33.724453,14.800000,78.837112
39,2,54.151726,N/A,14.097151,34.900997,15.590580,0.292037,N/A,1.147253,stubby,yes,-59.671003,121,0.777295,14.002732,34.367897,14.665166,77.106781
40,6,58.599812,N/A,39.189796,2.320736,26.816332,0.137497,0.005000,1.069960,thin,yes,7.600972,437,0.419338,38.315525,2.608238,26.939146,97.296059
41,3,69.802551,N/A,38.700981,47.326134,11.795484,0.369504,0.050000,1.095055,mushroom,yes,-35.568119,175,0.102200,39.126575,46.610363,11.200000,48.699257
43,3,69.802551,N/A,29.676815,40.592545,13.718431,0.223192,0.005000,1.162330,thin,yes,-17.772655,197,0.000000,30.475752,39.766201,13.350000,60.178535
44,6,58.599812,N/A,40.816982,35.297836,12.785978,0.332190,0.005000,1.154329,thin,yes,50.338804,375,0.000000,41.673748,35.642799,13.900001,60.230713
45,3,69.802551,N/A,27.645538,35.325035,15.226745,0.565713,0.005000,1.105417,mushroom,yes,-8.193615,213,0.071925,26.551790,35.882214,15.050000,66.364670
46,3,69.802551,N/A,7.010756,13.946848,19.646116,0.348245,0.005000,1.069440,thin,yes,-28.046148,279,0.641755,7.279857,13.174440,19.210363,98.633537
47,3,69.802551,N/A,0.484764,3.747973,21.412258,0.367296,0.251041,1.042354,mushroom,yes,-82.671959,304,0.000000,0.558342,3.847470,20.450001,110.795685
48,6,58.599812,N/A,36.396816,8.030011,24.505648,0.279128,0.005000,1.117045,thin,yes,-31.456782,427,0.889445,37.358059,7.795868,23.900400,90.888260
49,6,58.599812,N/A,37.002422,22.687490,17.464291,0.571401,0.005000,1.036746,mushroom,yes,-33.383261,400,0.556204,37.800056,22.683926,16.938677,73.720398
50,3,69.802551,N/A,12.772555,18.913465,17.892159,0.388966,0.005000,1.112549,mushroom,yes,29.414356,264,0.086798,11.804821,19.119532,18.450001,90.830132
51,3,69.802551,N/A,12.848199,22.758139,18.552538,0.536809,0.005000,1.092107,mushroom,yes,-59.226617,258,0.623731,13.128756,22.287365,17.632233,87.288216
52,3,69.802551,N/A,27.811762,36.916134,15.325649,0.416204,0.005000,1.030799,mushroom,yes,-74.308807,210,0.554741,28.028387,37.038666,14.439713,64.838326
54,2,54.151726,N/A,2.481224,27.725887,17.042576,0.165766,0.005000,1.153870,thin,yes,19.882383,153,0.355482,3.115134,26.727011,17.470421,91.904419
55,3,69.802551,N/A,9.765724,14.248942,19.269337,0.401789,0.005000,1.080222,mushroom,yes,-30.632850,274,0.172813,9.077950,14.793094,18.750000,96.056198
