ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
1,2,27.967777,N/A,73.759651,49.362343,27.283518,0.269763,0.005000,1.343503,thin,yes,1.468889,132,0.939311,72.981949,48.059315,27.322430,69.740120
2,2,27.967777,N/A,78.784622,43.075150,21.802691,0.548384,0.005000,1.322124,mushroom,yes,-1.605939,115,0.119576,79.579582,44.076557,21.766844,60.046749
3,2,27.967777,N/A,68.578903,54.147781,30.637638,0.359984,0.005000,1.327827,mushroom,yes,-4.293775,150,0.987927,67.263153,53.922356,30.537411,79.020996
4,0,52.370594,N/A,95.267509,18.748625,8.149156,0.369607,0.282394,1.302224,mushroom,yes,-30.537186,31,0.000000,94.297119,19.048458,7.550000,25.103251
5,0,52.370594,N/A,89.425453,27.690514,12.274551,0.412704,0.005000,1.206191,mushroom,yes,20.639325,52,0.177965,90.431610,28.091187,12.682473,36.757607
6,2,27.967777,N/A,75.057739,45.684063,25.048229,0.359010,0.005000,1.186468,mushroom,yes,-5.822085,126,0.176857,75.973373,46.625111,24.914349,66.419342
7,0,52.370594,N/A,92.954941,26.607401,11.900208,0.425576,0.250873,1.113480,mushroom,yes,-32.535849,47,0.079214,92.082672,26.177591,11.279856,33.858875
8,2,27.967777,N/A,70.471146,49.058075,29.733347,0.411118,0.005000,1.081464,mushroom,yes,-38.127900,138,0.000000,70.470322,49.808281,29.144520,73.467094
9,2,27.967777,N/A,66.047272,53.760353,30.726288,0.369619,0.005000,1.088692,mushroom,yes,1.582865,151,0.401779,66.998421,54.458656,30.758894,79.688904
10,2,27.967777,N/A,71.408173,48.348988,28.735889,0.299824,0.005000,1.077978,thin,yes,-41.669575,134,0.376405,72.039612,48.872341,28.005960,71.253555
