ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
7,3,12.878054,N/A,93.987640,16.998493,3.163550,0.464366,0.268652,1.229661,mushroom,yes,52.463512,263,0.936854,93.302315,17.106424,4.066501,109.628220
8,4,89.601898,N/A,34.962502,14.893041,23.297499,0.404219,0.005000,1.265355,mushroom,yes,-4.560085,22,0.457058,34.747192,16.308037,23.183344,13.595529
9,4,89.601898,N/A,41.134220,12.076687,19.636084,0.494318,0.005000,1.216527,mushroom,yes,3.116782,38,0.359825,42.138466,12.684443,19.700001,23.031033
10,4,89.601898,N/A,41.849674,11.396593,19.132217,0.458490,0.175047,1.195472,mushroom,yes,11.085837,41,0.234552,42.852242,11.904853,19.352457,24.861824
11,4,89.601898,N/A,54.297421,10.727330,15.899282,0.451862,0.123679,1.174426,mushroom,yes,16.735373,66,0.000000,53.846397,11.816853,16.253849,37.811527
14,1,11.827332,N/A,95.347260,30.577585,5.389214,0.481916,0.107389,1.178834,mushroom,yes,71.142590,176,0.930939,94.951431,30.600000,6.550000,94.883041
16,4,89.601898,N/A,32.370678,18.861267,27.014114,0.339983,0.005000,1.200717,thin,yes,-7.348687,14,0.434125,31.294947,18.131845,26.846495,7.878785
17,4,89.601898,N/A,30.184652,18.104380,26.371084,0.393000,0.005000,1.168910,mushroom,yes,47.468922,14,0.449102,30.914833,18.552324,27.304916,7.869917
18,4,89.601898,N/A,26.942049,19.984972,29.784599,0.491332,N/A,1.132116,stubby,yes,46.516070,4,0.000000,27.182373,20.522860,30.405766,1.596346
20,4,89.601898,N/A,42.054832,11.774023,20.939125,0.246091,0.005000,1.179998,thin,yes,-53.579259,38,0.000000,42.138466,12.684443,19.700001,23.308744
21,4,89.601898,N/A,29.606501,17.955278,28.151598,0.239055,0.005000,1.143123,thin,yes,-16.510778,11,0.000000,30.339170,18.858309,27.806902,6.386642
22,4,89.601898,N/A,28.183130,21.477160,29.781996,0.342041,0.005000,1.165485,thin,yes,9.887132,6,0.000000,27.880985,20.316803,29.990986,2.579786
23,3,12.878054,N/A,93.389137,21.686554,6.613054,0.379803,0.005000,1.136856,mushroom,yes,-76.825470,255,0.457082,93.577904,21.827398,5.606896,104.334473
24,4,89.601898,N/A,26.935875,19.512743,30.162561,0.416859,0.005000,1.127285,mushroom,yes,14.007833,5,0.287270,27.161173,20.526373,30.421606,1.836584
25,4,89.601898,N/A,40.012180,13.310346,20.036310,0.436684,0.005000,1.136366,mushroom,yes,7.594346,34,0.018832,40.659172,14.246901,20.188078,20.697865
26,4,89.601898,N/A,55.106853,13.338484,16.108252,0.443044,0.302435,1.086712,mushroom,yes,-6.694286,69,0.211537,55.508411,12.403805,15.988851,39.656124
27,4,89.601898,N/A,79.906197,26.916878,8.091549,0.354725,0.005000,1.102947,mushroom,yes,-2.282572,128,0.000000,80.100708,25.892807,8.050000,70.564667
28,4,89.601898,N/A,27.952293,20.317232,31.008514,0.318322,0.252238,1.080545,thin,yes,-66.106981,6,0.612656,27.586842,20.413965,30.155144,2.183782
29,4,89.601898,N/A,36.808098,17.339283,22.064566,0.429501,0.005000,1.100624,mushroom,yes,-0.677771,25,0.000000,36.647228,16.118679,22.050001,16.033403
30,4,89.601898,N/A,70.813057,20.591541,11.018675,0.247388,0.005000,1.109077,thin,yes,-21.456661,109,0.546007,71.426872,19.569998,10.550264,59.275249
31,2,39.679722,N/A,80.739807,11.560040,13.015531,0.266601,0.005000,1.101703,thin,yes,-10.235535,219,0.184402,79.955147,12.476412,12.797690,120.954849
32,4,89.601898,N/A,36.197514,14.954682,22.468401,0.384392,0.005000,1.077442,mushroom,yes,-7.152285,25,0.781004,36.263527,16.143864,22.318949,15.488340
33,4,89.601898,N/A,49.998043,9.374284,17.147516,0.282566,0.005000,1.089629,thin,yes,2.260092,57,0.000000,49.863956,10.571868,17.195076,33.806023
34,4,89.601898,N/A,47.842648,9.502396,18.062387,0.445943,0.005000,1.047505,mushroom,yes,-4.550338,53,0.961318,47.870747,10.524924,17.980978,31.139412
