ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
4,3,72.191414,N/A,64.483734,33.603725,20.774736,0.219482,0.005000,1.922501,thin,yes,-30.336672,186,0.000000,65.892151,34.644180,19.750000,51.660282
10,3,72.191414,N/A,80.321266,28.081511,21.415564,0.428410,0.005000,1.727584,mushroom,yes,-57.099088,148,0.192704,79.974907,29.035076,19.847408,35.093586
14,3,72.191414,N/A,65.340332,34.140820,17.968227,0.270764,0.005000,1.732498,thin,yes,67.256786,188,0.000000,65.892151,34.644180,19.750000,52.507721
25,3,72.191414,N/A,66.178223,33.423473,21.352556,0.391994,N/A,1.525713,stubby,yes,-67.095107,182,0.269053,66.629730,33.839172,19.900000,50.008072
26,3,72.191414,N/A,67.093628,34.476818,21.121094,0.309756,0.005000,1.463937,thin,yes,-53.472312,183,0.507934,66.747314,33.695190,19.966913,50.307350
32,3,72.191414,N/A,59.422363,47.062683,19.091635,0.263641,0.005000,1.358211,thin,yes,22.735127,220,0.000000,58.560150,46.209198,19.600000,66.456192
36,3,72.191414,N/A,52.556969,51.333355,18.337042,0.250911,0.005000,1.260099,thin,yes,-12.392822,245,0.399786,53.043152,52.579189,18.043184,76.093620
38,3,72.191414,N/A,63.949696,34.770775,20.184984,0.163316,0.005000,1.287897,thin,yes,-32.536198,190,0.461894,64.848831,35.610771,19.400000,53.190369
39,3,72.191414,N/A,66.181656,34.266617,21.192612,0.235367,0.005000,1.215105,thin,yes,-85.179965,185,0.330857,66.275528,34.337173,19.800001,51.137257
40,3,72.191414,N/A,49.521954,53.886734,16.284191,0.247793,0.005000,1.226523,thin,yes,17.231122,253,0.304124,50.443817,54.785694,16.683542,80.308548
42,3,72.191414,N/A,51.772770,55.291485,17.219912,0.397903,0.005000,1.094089,mushroom,yes,-8.634046,251,0.313221,50.970245,54.363094,17.033573,78.993011
44,3,72.191414,N/A,50.412239,56.783901,15.837518,0.407406,0.270265,1.034941,mushroom,yes,10.362847,257,0.564992,49.428043,56.324108,16.036163,82.380203
