ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
1,7,66.106674,N/A,1.075651,18.113880,36.630405,0.372736,0.005000,1.409127,mushroom,yes,-78.985382,486,0.000000,1.334584,18.117405,35.299999,106.877914
2,7,66.106674,N/A,46.499462,19.188623,34.565533,0.472444,0.005000,1.357954,mushroom,yes,-66.891959,366,0.000000,46.361237,18.706051,33.389118,56.659531
3,7,66.106674,N/A,5.280255,16.288580,37.640877,0.253733,0.005000,1.404267,thin,yes,-44.909591,474,0.000000,6.072675,16.888681,36.650002,101.385757
4,7,66.106674,N/A,23.179171,15.153011,36.364010,0.292120,N/A,1.398721,stubby,yes,39.585668,432,0.000000,22.450592,16.097019,37.350002,83.082733
5,7,66.106674,N/A,10.074656,15.705878,36.136429,0.371695,0.005000,1.316178,mushroom,yes,21.317706,461,0.000000,10.416933,14.435123,36.650002,96.081276
6,7,66.106674,N/A,0.533521,19.305387,34.508781,0.387775,0.347203,1.287669,mushroom,yes,17.797918,488,0.227616,0.475278,18.233053,34.853535,107.858841
8,8,38.541355,N/A,56.092613,47.327389,23.223116,0.246163,0.005000,1.286631,thin,yes,78.865567,573,0.812310,56.314400,47.465271,24.550001,67.035156
10,8,38.541355,N/A,55.229279,46.779488,24.918171,0.302122,0.005000,1.277114,thin,yes,-15.450794,572,0.485637,56.422749,47.209415,24.567545,66.711189
11,7,66.106674,N/A,8.922236,14.600498,35.618660,0.498143,0.423633,1.215435,mushroom,yes,74.538437,465,0.887166,9.240438,14.608671,36.769432,97.380035
13,7,66.106674,N/A,1.173867,19.688257,35.409954,0.247322,0.005000,1.242941,thin,yes,-12.106187,487,0.000000,0.887502,18.298056,35.105503,107.412567
14,1,27.499109,N/A,54.724453,22.833307,41.666943,0.185511,0.005000,1.174216,thin,yes,-50.393748,104,0.621892,55.015026,23.662487,40.605110,49.852474
15,7,66.106674,N/A,14.740572,15.421404,38.287563,0.350328,0.005000,1.107064,mushroom,yes,-71.894760,450,0.516076,14.911982,15.128662,37.250000,90.761642
16,3,20.289488,N/A,41.713371,39.199772,48.855919,0.246146,0.005000,1.147691,thin,yes,18.199964,203,0.974127,41.049484,38.197403,49.251209,72.470825
17,8,38.541355,N/A,66.417397,27.255032,29.503603,0.453294,0.139123,1.033986,mushroom,yes,-38.376826,516,0.664970,65.701050,27.341572,28.932180,42.628227
18,3,20.289488,N/A,40.498352,39.913544,49.585091,0.100884,0.005000,1.122724,thin,yes,1.089103,204,0.000000,40.247410,38.674953,49.609116,73.497932
19,7,66.106674,N/A,1.832792,19.329781,34.995872,0.202067,0.005000,1.102612,thin,yes,19.428257,485,0.530318,1.878991,18.174788,35.403576,106.322754
20,7,66.106674,N/A,17.494728,14.651639,36.758537,0.381248,0.055742,1.024677,mushroom,yes,38.254068,446,0.480992,17.295034,15.499999,37.445709,88.739647
21,8,38.541355,N/A,59.151917,44.437588,24.909954,0.444746,0.005000,1.026005,mushroom,yes,4.369029,564,0.108446,58.422523,43.797123,24.984116,62.594231
23,7,66.106674,N/A,7.642807,17.323183,36.448288,0.335364,0.005000,1.075528,thin,yes,11.564046,472,0.518270,7.024496,16.390347,36.677284,100.298401
25,1,27.499109,N/A,55.421913,23.251312,38.904728,0.342250,0.005000,0.998755,thin,yes,63.811680,101,0.495475,55.592812,22.810297,39.866425,48.147697
26,3,20.289488,N/A,48.465603,32.210400,44.376717,0.405043,0.159203,0.990103,mushroom,yes,57.816673,175,0.698897,48.600471,31.667086,45.266243,61.323063
27,7,66.106674,N/A,12.788771,14.523180,35.862526,0.309204,0.005000,1.030824,thin,yes,61.512270,456,0.364272,12.732393,15.040213,36.820915,93.526321
28,5,8.902065,N/A,62.986576,20.893644,30.036734,0.328541,0.005000,1.040694,thin,yes,1.576007,232,0.724936,62.854088,19.606230,30.072342,38.294491
29,7,66.106674,N/A,10.191171,13.229686,36.397797,0.216833,0.005000,1.043867,thin,yes,11.620702,461,0.000000,10.416933,14.435123,36.650002,96.081276
30,6,37.539364,N/A,44.576580,49.099552,27.251099,0.499912,0.005000,0.985821,mushroom,yes,-28.722029,327,0.582862,43.903076,48.481010,26.750000,76.021378
31,1,27.499109,N/A,53.185177,26.796503,41.180050,0.347067,0.005000,1.008364,thin,yes,37.549179,111,0.000000,52.743717,26.021650,41.865559,53.208412
32,7,66.106674,N/A,16.403353,14.410477,36.969379,0.281490,0.005000,1.012980,thin,yes,19.503737,448,0.293808,16.109949,15.444270,37.350002,89.860794
33,7,66.106674,N/A,33.397224,18.162003,35.704338,0.185956,0.005000,1.018847,thin,yes,2.753634,401,0.455237,33.274822,17.050734,35.758110,71.257462
34,7,66.106674,N/A,10.992974,15.696611,36.359341,0.271558,0.005000,1.004696,thin,yes,25.158779,460,0.710431,11.531167,14.676600,36.901024,95.092232
35,8,38.541355,N/A,55.542488,49.693588,24.472891,0.376308,0.005000,0.948337,mushroom,yes,-19.736130,579,0.329912,54.691212,49.570995,24.164333,69.919907
36,7,66.106674,N/A,15.378170,16.305710,36.964207,0.380200,0.005000,0.978838,mushroom,yes,27.497176,449,0.076169,15.479466,15.389625,37.443939,90.499512
37,8,38.541355,N/A,65.985123,28.850220,28.068205,0.368151,0.005000,0.954372,mushroom,yes,16.792480,520,0.182806,65.022278,28.710669,28.361803,44.457005
38,2,15.625717,N/A,40.872467,27.560078,49.517689,0.271341,0.005000,0.984797,thin,yes,-24.771946,152,0.000000,40.570839,26.645020,49.073067,68.411537
40,7,66.106674,N/A,40.105083,18.994244,35.324615,0.302695,0.005000,0.960681,thin,yes,-12.405199,385,0.000000,40.207848,17.887770,35.080189,64.721069
41,7,66.106674,N/A,5.191361,18.211454,35.822350,0.269291,0.005000,0.959638,thin,yes,34.745687,479,0.868471,4.632382,17.608168,36.392807,102.964455
42,7,66.106674,N/A,14.369606,14.619618,37.896667,0.367863,0.270884,0.897573,mushroom,yes,-52.453852,452,0.917066,14.704536,14.995211,37.241928,91.450813
43,6,37.539364,N/A,48.871880,42.862644,27.819675,0.405350,0.005000,0.918610,mushroom,yes,-15.788984,306,0.575340,48.373867,42.117104,27.566156,67.807098
44,7,66.106674,N/A,41.651436,19.226963,34.067139,0.431287,0.005000,0.923855,mushroom,yes,14.527391,377,0.062784,42.291130,18.491320,34.319756,61.202972
45,8,38.541355,N/A,58.912041,42.040306,24.840113,0.374570,0.005000,0.907709,mushroom,yes,9.066102,561,0.183888,59.584480,42.674042,24.987555,60.919415
46,7,66.106674,N/A,15.906565,15.735197,38.104000,0.510307,N/A,0.857331,stubby,yes,-65.711516,448,0.105338,15.943518,15.396949,37.350002,89.976341
47,3,20.289488,N/A,48.233486,30.239048,45.263268,0.221493,0.005000,0.913076,thin,yes,-38.031133,172,0.529415,48.877838,30.727436,44.630871,60.130508
48,6,37.539364,N/A,41.843079,50.365768,28.019562,0.432482,N/A,0.850375,stubby,yes,-54.274832,332,0.000000,42.068043,50.750427,27.400000,78.947021
49,8,38.541355,N/A,64.832657,32.440136,26.864864,0.463117,0.005000,0.849459,mushroom,yes,40.455630,532,0.658327,64.064659,32.537258,27.524984,48.944553
50,7,66.106674,N/A,14.296663,14.668301,36.237297,0.281031,0.005000,0.881703,thin,yes,63.442017,453,0.415198,14.185031,15.063777,37.059410,92.068359
51,7,66.106674,N/A,44.849648,18.864719,34.708916,0.265056,0.005000,0.887158,thin,yes,-64.441605,372,0.315728,44.443962,18.619717,33.717907,58.828297
52,3,20.289488,N/A,45.555515,33.343235,46.406555,0.386528,0.005000,0.898996,mushroom,yes,10.687022,184,0.089741,46.271935,34.012524,46.591576,64.968605
53,7,66.106674,N/A,46.256786,19.736843,33.120224,0.235917,0.005000,0.913879,thin,yes,11.646916,366,0.122174,46.461880,18.710274,33.336006,56.588203
54,7,66.106674,N/A,19.163319,14.226137,37.711662,0.270778,0.005000,0.901781,thin,yes,5.058632,440,0.000000,19.050001,15.217615,37.799999,86.715500
55,7,66.106674,N/A,23.751385,15.987771,37.861965,0.248561,0.005000,0.870786,thin,yes,-31.775397,430,0.472546,23.201160,16.642151,37.332375,82.093277
56,8,38.541355,N/A,62.546608,33.799122,26.668268,0.393395,0.005000,0.835397,mushroom,yes,13.436453,536,0.000000,63.255608,34.287193,26.873907,50.913223
57,7,66.106674,N/A,14.051378,14.044766,37.087288,0.279746,0.005000,0.887521,thin,yes,-4.880680,454,0.620232,13.776581,15.029357,37.000000,92.408371
58,1,27.499109,N/A,54.721519,24.835918,40.346992,0.214263,0.005000,0.877861,thin,yes,41.294268,104,0.044934,54.499390,24.108469,41.015068,50.203491
59,7,66.106674,N/A,29.122391,16.923023,35.876385,0.226252,N/A,0.840371,stubby,yes,64.701941,412,0.584859,29.350271,17.164780,36.579281,75.497749
61,8,38.541355,N/A,59.605644,43.991093,24.884747,0.248803,0.005000,0.875237,thin,yes,13.770381,564,0.976398,58.750568,43.405693,25.138710,61.995064
62,3,20.289488,N/A,51.318592,26.571709,42.805954,0.463266,0.005000,0.837292,mushroom,yes,-19.564104,159,0.000000,51.764935,27.369997,42.480927,55.084671
63,7,66.106674,N/A,5.821697,16.310305,36.353024,0.397667,0.197865,0.828027,mushroom,yes,26.012129,474,0.523653,6.142812,16.827257,36.650002,101.193512
64,7,66.106674,N/A,8.945168,13.646455,36.620346,0.236726,0.005000,0.864325,thin,yes,7.582633,464,0.000000,9.308775,14.550000,36.750000,97.299774
65,7,66.106674,N/A,26.831930,17.727076,36.423153,0.260332,0.005000,0.849570,thin,yes,28.218745,419,0.673292,27.084488,17.007364,36.832451,77.927940
66,7,66.106674,N/A,36.358456,16.346069,35.132912,0.313954,0.005000,0.832533,thin,yes,37.393041,392,0.196738,36.038895,17.007772,35.694588,68.158257
67,7,66.106674,N/A,42.424793,18.257776,33.402645,0.420782,0.005000,0.806551,mushroom,yes,60.516988,377,0.490800,42.553452,18.697521,34.213036,60.991924
68,7,66.106674,N/A,27.926483,16.687962,37.387314,0.283551,N/A,0.803633,stubby,yes,-58.861451,416,0.036875,27.876059,17.039190,36.799999,77.128677
69,7,66.106674,N/A,43.691330,17.758749,33.767925,0.239838,0.005000,0.842497,thin,yes,-2.640310,373,0.187567,43.758400,18.808084,33.719437,59.361645
