ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
0,1,46.696884,N/A,28.550211,58.818630,41.556610,0.426351,0.005000,1.384658,mushroom,yes,-62.194903,136,0.500624,28.237232,59.421272,40.268921,63.902199
1,3,26.118139,N/A,17.057676,68.344398,43.642586,0.499458,0.005000,1.409110,mushroom,yes,-7.423641,202,0.160523,18.520538,68.689896,43.446735,79.350060
2,4,42.257210,N/A,47.838394,26.085247,33.759579,0.351245,0.005000,1.389660,mushroom,yes,-69.316821,248,0.626660,48.070457,26.517952,32.459015,27.744259
4,4,42.257210,N/A,40.452267,42.511883,41.341312,0.443571,0.005000,1.395402,mushroom,yes,19.528087,297,0.000000,41.086964,43.798065,41.850002,50.059460
5,4,42.257210,N/A,47.680004,23.527809,29.764288,0.300110,0.005000,1.385529,thin,yes,-27.207004,241,0.436077,48.299004,24.561920,29.144705,23.643469
8,4,42.257210,N/A,40.081177,42.894794,41.259365,0.277346,0.005000,1.256127,thin,yes,23.600977,297,0.000000,41.086964,43.798065,41.850002,50.059460
9,3,26.118139,N/A,18.786333,67.129646,44.000217,0.414841,0.005000,1.189481,mushroom,yes,-54.410251,198,0.556772,18.925243,67.759850,43.098488,77.843559
10,1,46.696884,N/A,38.383114,45.673481,34.148716,0.470012,0.005000,1.096305,mushroom,yes,-71.421293,92,0.000000,38.610439,46.014606,32.929131,44.704826
12,4,42.257210,N/A,48.632290,23.135290,28.681137,0.144411,0.005000,1.213063,thin,yes,-50.644399,239,0.449487,48.268669,23.853085,27.700001,22.627666
13,4,42.257210,N/A,39.487087,43.932953,41.143250,0.352911,0.005000,1.194801,mushroom,yes,28.042225,298,0.000000,40.777458,44.241936,41.850002,50.600582
15,4,42.257210,N/A,47.334267,26.827642,31.825668,0.361830,0.170272,1.053436,mushroom,yes,45.808449,248,0.413380,48.034931,26.775169,32.548409,27.875298
16,1,46.696884,N/A,28.156322,58.824665,38.803303,0.402411,0.005000,1.068212,mushroom,yes,55.980445,133,0.379570,28.720991,58.699745,39.660069,62.652828
17,1,46.696884,N/A,32.458527,55.036926,38.770142,0.396442,0.005000,1.040323,mushroom,yes,-70.528647,119,0.000000,32.056057,55.043751,37.631630,57.268913
18,3,26.118139,N/A,23.532906,61.524345,42.328220,0.245207,0.005000,1.049859,thin,yes,-15.333123,173,0.000000,24.169125,62.474197,42.014755,69.443268
19,1,46.696884,N/A,38.041058,48.973938,33.814407,0.370247,0.005000,1.085231,mushroom,yes,7.795625,98,0.262792,36.848675,48.754639,33.980389,47.717651
20,1,46.696884,N/A,29.476418,57.816223,40.034893,0.351605,0.005000,1.014355,mushroom,yes,-53.798795,131,0.530341,28.953953,58.018330,39.269520,61.967972
21,3,26.118139,N/A,15.327669,71.942986,45.402054,0.460076,0.367902,0.988374,mushroom,yes,-68.211275,216,0.820893,14.993820,72.055161,44.521011,84.401428
22,4,42.257210,N/A,40.730198,42.699478,42.048481,0.386696,0.005000,1.062464,mushroom,yes,-14.984688,297,0.269553,41.223587,43.717915,41.745579,49.961514
23,4,42.257210,N/A,43.810955,38.740929,40.612850,0.335928,0.005000,1.000383,thin,yes,-68.800691,282,0.138948,43.538109,38.964020,39.704170,44.082180
24,4,42.257210,N/A,42.560581,41.663715,39.973736,0.464733,0.383093,0.974645,mushroom,yes,60.300485,288,0.492486,42.597965,41.220982,40.752708,46.566696
25,1,46.696884,N/A,35.558212,49.166134,33.761200,0.325473,0.005000,1.050786,thin,yes,31.663455,100,0.000000,36.513519,49.277454,34.354355,48.947918
26,4,42.257210,N/A,47.768200,24.340443,30.986673,0.308015,0.005000,1.058716,thin,yes,-25.606711,243,0.000000,48.381207,25.150000,30.500000,25.087856
28,3,26.118139,N/A,20.589521,67.417839,42.026516,0.136996,0.005000,1.078416,thin,yes,26.568038,194,0.072620,19.626410,66.870781,42.580406,76.607849
29,2,9.099478,N/A,27.726185,65.534203,44.350582,0.369555,0.188774,0.948098,mushroom,yes,52.580349,155,0.797890,27.253960,65.237213,45.079704,71.836723
30,3,26.118139,N/A,13.783510,72.797569,45.450768,0.474555,0.005000,0.998062,mushroom,yes,-50.943329,218,0.065949,14.000825,72.153267,44.612778,85.421448
31,1,46.696884,N/A,30.900288,56.886219,37.059971,0.241501,0.005000,1.026157,thin,yes,58.114414,123,0.422574,30.888092,56.231010,38.113380,58.998390
32,1,46.696884,N/A,32.870617,54.721561,36.230190,0.483215,0.055445,0.942561,mushroom,yes,62.078929,117,0.000000,32.780899,54.261269,37.115105,56.158432
33,4,42.257210,N/A,48.109459,29.008825,32.556900,0.415878,0.372673,0.969279,mushroom,yes,61.095655,251,0.000000,48.074860,28.600000,33.299999,29.976723
34,4,42.257210,N/A,42.470688,40.093407,39.618172,0.417389,0.005000,0.962146,mushroom,yes,46.003451,284,0.000000,43.054050,40.068146,40.222900,45.072407
35,4,42.257210,N/A,43.664532,39.717232,39.011574,0.302399,0.229483,0.933987,thin,yes,63.012384,283,0.678800,43.400459,39.356304,39.889755,44.303394
36,3,26.118139,N/A,26.457861,59.943188,40.082169,0.400894,0.005000,0.911092,mushroom,yes,49.007655,162,0.000000,26.923149,60.179615,40.682720,65.398239
37,1,46.696884,N/A,30.725739,56.514545,39.296432,0.279977,0.179102,0.898212,thin,yes,-74.462114,124,0.312488,30.472971,56.593475,38.344025,59.735172
38,1,46.696884,N/A,33.272598,55.368294,36.901932,0.282567,0.005000,0.958200,thin,yes,21.770315,118,0.325462,32.539700,54.582882,37.330956,56.437050
39,4,42.257210,N/A,38.444775,47.321339,44.734890,0.363266,0.005000,0.932629,mushroom,yes,-46.208700,308,0.390825,39.000156,47.753414,44.000896,55.378010
