ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
1,2,74.376312,N/A,23.025148,16.983093,9.740849,0.518044,0.005000,1.324094,mushroom,yes,68.751368,332,0.049844,22.513115,16.947088,11.060886,97.783943
2,1,38.358845,N/A,58.152466,36.793213,29.648428,0.461208,0.347748,1.281554,mushroom,yes,-56.059400,123,0.000000,58.186855,36.201748,28.768097,54.796116
3,2,74.376312,N/A,62.281399,33.242504,13.674139,0.568456,0.005000,1.307638,mushroom,yes,39.167715,211,0.588958,61.700150,34.021545,14.465960,49.674942
4,2,74.376312,N/A,66.526421,35.636620,17.475077,0.460686,0.162111,1.276209,mushroom,yes,-69.360802,199,0.538280,66.056816,35.781757,16.170116,43.966660
5,2,74.376312,N/A,60.037453,32.788475,14.343230,0.414810,0.221805,1.285276,mushroom,yes,-41.302657,213,0.481745,60.641678,33.520252,13.509442,50.906902
6,2,74.376312,N/A,29.437338,22.478210,10.699076,0.351809,0.005000,1.298922,mushroom,yes,70.364605,308,0.453860,29.685574,22.086946,11.997820,87.833992
9,2,74.376312,N/A,39.788357,29.027590,13.432353,0.420833,0.371771,1.262365,mushroom,yes,-78.481644,270,0.613652,40.020309,28.977324,12.267715,74.207817
10,2,74.376312,N/A,21.987825,15.273726,10.992075,0.315617,0.005000,1.340351,thin,yes,-46.716466,333,0.127282,21.536402,16.098867,9.993408,98.440819
11,2,74.376312,N/A,29.608028,22.826277,13.293604,0.416994,0.005000,1.283796,mushroom,yes,-64.317167,307,0.906529,30.116405,22.462791,11.994047,87.375046
12,2,74.376312,N/A,35.124794,25.115129,12.110561,0.558876,0.005000,1.280885,mushroom,yes,6.134004,289,0.383105,34.517307,26.245153,12.248441,80.852577
13,1,38.358845,N/A,66.186142,40.569275,25.335756,0.614001,0.005000,1.181866,mushroom,yes,-19.815722,89,0.346974,66.510948,39.494072,24.931034,44.050529
14,1,38.358845,N/A,53.092026,35.358814,30.854349,0.451996,0.172239,1.179239,mushroom,yes,-19.318689,141,0.002186,53.247757,34.143490,30.424820,60.403976
15,2,74.376312,N/A,49.348900,30.626415,11.635560,0.510369,0.005000,1.265566,mushroom,yes,-20.794563,244,0.368050,49.318340,29.486851,11.202648,64.207069
16,1,38.358845,N/A,46.307255,33.384171,37.023052,0.245171,0.005000,1.266389,thin,yes,-44.610825,167,0.389975,45.442104,33.779255,36.084793,70.554863
17,2,74.376312,N/A,48.221970,30.454769,12.108176,0.384419,0.005000,1.233607,mushroom,yes,-44.211088,247,0.176373,47.976933,29.610748,11.253181,65.450729
18,2,74.376312,N/A,18.353706,11.486397,4.918983,0.504215,0.005000,1.117614,mushroom,yes,-14.161548,358,0.000000,17.744490,12.148007,4.692049,107.062531
19,2,74.376312,N/A,18.172377,13.249936,4.046127,0.427328,0.005000,1.156898,mushroom,yes,51.143906,356,0.000000,18.148258,12.610299,4.840646,106.430580
20,2,74.376312,N/A,20.309210,16.721716,9.393700,0.404555,0.005000,1.205176,mushroom,yes,-1.288410,338,0.366243,20.820328,15.537727,9.364696,100.224777
21,2,74.376312,N/A,21.508112,15.034421,8.521296,0.349690,0.005000,1.195871,thin,yes,51.405365,341,0.788157,20.918034,15.569652,9.519444,101.016449
22,2,74.376312,N/A,26.727510,19.764153,12.777484,0.286608,0.005000,1.183151,thin,yes,-72.616532,317,0.044239,26.744747,19.389189,11.578498,92.199760
23,2,74.376312,N/A,42.622189,30.362791,12.449909,0.375129,0.005000,1.163379,mushroom,yes,-19.704424,261,0.299356,42.890514,29.366602,12.080420,71.061821
24,2,74.376312,N/A,25.482729,18.047384,10.361669,0.362140,0.005000,1.173282,mushroom,yes,52.872326,322,0.516612,25.008036,18.589682,11.313660,94.158165
26,2,74.376312,N/A,30.416433,21.303207,11.408922,0.476508,0.005000,1.146968,mushroom,yes,29.823839,309,0.928886,29.628113,22.015457,12.017966,87.977287
27,2,74.376312,N/A,43.772171,28.714052,12.776084,0.431984,0.176007,1.067902,mushroom,yes,-47.878729,260,0.761216,43.494755,29.375313,11.983051,70.370125
