ID,SECTION-NUMBER,SECTION-LENGTH,BRANCH-ORDER,X,Y,Z,HEAD-DIAMETER,NECK-DIAMETER,MAX-DTS,TYPE,AUTO,XYPLANE-ANGLE,SWC-NODE-ID,SWC-NODE-OFFSET,ATTACH-X,ATTACH-Y,ATTACH-Z,SOMA-DISTANCE
2,2,39.975201,N/A,30.411860,11.694129,20.321779,0.729136,0.005000,1.234890,mushroom,yes,-26.801161,49,0.624360,30.915802,10.777551,19.793390,21.134077
3,2,39.975201,N/A,7.256835,0.605564,21.226089,0.475861,0.005000,1.213734,mushroom,yes,40.114216,110,0.000000,7.227125,1.553695,22.025284,50.172321
4,3,16.840652,N/A,37.906345,11.248800,19.233019,0.350031,0.005000,1.140225,mushroom,yes,-3.993807,120,0.084681,37.059395,12.145117,19.146921,14.937831
5,2,39.975201,N/A,32.355511,11.930488,19.263044,0.395626,0.359604,1.085874,mushroom,yes,71.743866,46,0.558941,32.427063,11.615110,20.243410,19.816706
6,4,22.517138,N/A,37.516201,9.329441,27.059692,0.387800,0.005000,1.009016,mushroom,yes,13.714804,204,0.130468,38.118347,8.496809,27.310463,19.325632
7,2,39.975201,N/A,14.032789,4.007812,19.865620,0.200534,0.005000,1.023371,thin,yes,-8.755590,94,0.639298,12.972573,4.695992,19.670948,42.552208
8,2,39.975201,N/A,20.790121,10.180368,17.991329,0.219824,0.005000,1.009592,thin,yes,80.507176,72,0.000000,20.962523,10.251504,19.106670,32.435642
9,4,22.517138,N/A,34.974968,4.368827,29.104355,0.367538,0.005000,0.993006,mushroom,yes,17.696039,218,0.152598,35.902348,3.888631,29.437563,25.157848
10,4,22.517138,N/A,39.625557,8.484520,27.346163,0.358557,0.005000,0.979038,mushroom,yes,-20.085965,202,0.612594,38.904179,9.109444,26.997160,18.353456
11,2,39.975201,N/A,7.896999,3.002613,21.296103,0.192677,0.005000,0.978460,thin,yes,26.360332,107,0.000000,8.383334,2.073067,21.815968,48.564133
12,2,39.975201,N/A,9.353567,3.465593,21.171110,0.307842,0.005000,0.954259,thin,yes,6.864896,103,0.000000,9.852797,2.556316,21.295994,46.894741
13,2,39.975201,N/A,36.202320,13.555221,18.987823,0.324117,0.005000,0.909681,thin,yes,37.763715,34,0.000000,36.387966,12.835985,19.563251,15.293787
14,2,39.975201,N/A,6.294627,2.384106,21.610418,0.351097,0.005000,0.933560,mushroom,yes,26.784774,112,0.000000,6.186713,1.493750,22.063162,50.929459
15,2,39.975201,N/A,21.345448,10.513538,19.953632,0.326972,0.275288,0.889851,thin,yes,-77.624025,71,0.000000,21.211559,10.372415,19.067087,32.155991
16,4,22.517138,N/A,41.499958,11.519652,24.881355,0.157033,0.005000,0.926466,thin,yes,-1.767541,189,0.024978,40.748615,12.310499,24.847692,14.022912
17,2,39.975201,N/A,23.204666,9.712542,18.955618,0.580200,0.072836,0.870308,mushroom,yes,-4.668828,68,0.985269,22.888758,10.532028,18.883892,30.321589
18,0,7.223969,N/A,43.055149,17.946476,19.613852,0.469270,0.005000,0.891128,mushroom,yes,9.210157,14,0.389485,43.852844,17.386688,19.771866,5.617749
19,2,39.975201,N/A,9.910740,1.922534,22.134743,0.433132,0.141925,0.863803,mushroom,yes,-48.037831,105,0.850285,9.469057,2.324731,21.470419,47.421654
20,2,39.975201,N/A,20.439585,10.784566,19.534273,0.529600,0.005000,0.863643,mushroom,yes,-25.550724,73,0.543156,20.849945,10.146081,19.171431,32.617168
21,4,22.517138,N/A,34.914734,3.141030,29.169786,0.315712,0.005000,0.867378,thin,yes,56.214338,221,0.892476,35.305550,2.835634,29.911085,26.117638
22,2,39.975201,N/A,27.364523,11.890088,18.726824,0.393674,0.005000,0.861448,mushroom,yes,17.539034,58,0.982718,27.587721,10.990211,19.019846,25.447193
23,3,16.840652,N/A,31.125410,4.477542,20.427502,0.354706,0.005000,0.860094,mushroom,yes,-46.731745,154,0.701895,30.754896,4.950267,19.789427,24.970648
24,4,22.517138,N/A,35.072311,1.855797,30.817234,0.514523,0.005000,0.851215,mushroom,yes,-47.314883,225,0.885293,34.575596,2.012863,30.252384,27.559658
25,2,39.975201,N/A,8.057305,2.629097,21.032591,0.268724,0.005000,0.862482,thin,yes,50.552343,107,0.000000,8.383334,2.073067,21.815968,48.564133
26,3,16.840652,N/A,32.856701,8.290808,18.382385,0.291955,0.005000,0.847715,thin,yes,57.522046,140,0.000000,33.298424,8.116425,19.128460,20.712826
27,2,39.975201,N/A,7.106995,2.103454,22.769802,0.357762,0.005000,0.840240,mushroom,yes,-53.327956,109,0.035171,7.264270,1.568803,22.021360,49.832054
28,2,39.975201,N/A,19.344097,9.681214,18.351746,0.396582,0.152568,0.810498,mushroom,yes,55.757220,77,0.585326,19.547434,9.260967,19.037600,34.397835
29,1,6.760173,N/A,41.137959,13.495169,20.005733,0.368797,0.050000,0.811702,mushroom,yes,10.606453,25,0.000000,40.613369,14.310283,20.187252,10.501624
30,2,39.975201,N/A,11.761894,4.360768,19.471674,0.354156,0.235587,0.797180,mushroom,yes,57.966582,96,0.108409,12.219875,4.167332,20.266258,43.653141
31,2,39.975201,N/A,17.766068,8.679548,18.000687,0.241923,0.050000,0.800529,thin,yes,57.367629,81,0.975823,18.195496,8.452678,18.759169,35.957741
32,2,39.975201,N/A,23.399118,11.585499,19.151363,0.249071,0.005000,0.788149,thin,yes,-13.656332,66,0.000000,23.372791,10.752814,18.948948,29.828024
33,3,16.840652,N/A,33.076996,6.728425,19.759083,0.339310,0.005000,0.806121,thin,yes,-32.733054,144,0.532970,32.581821,7.256888,19.293562,21.843733
34,2,39.975201,N/A,12.810621,5.699973,19.714996,0.334659,0.005000,0.805518,thin,yes,-9.604910,93,0.390858,13.079438,4.810499,19.557751,42.266544
35,3,16.840652,N/A,28.724884,3.645708,19.614664,0.331131,0.005000,0.799568,thin,yes,16.569638,161,0.736250,29.301474,3.033782,19.864826,27.500166
36,2,39.975201,N/A,26.197506,11.228044,18.256853,0.241737,N/A,0.786510,stubby,yes,65.497043,60,0.177468,26.346195,10.853325,19.141344,26.713356
